salario;sexo;estadocivil;edad;tiempoempleo;vivienda;tiemporesidencia;telefono;trabajo;historialcredito;diasatraso;proposito;montodecredito;plazo;cuentaahorro;otraspropiedades;fiador;creditosexistentes;personastrabajan;resultado
1;Masculino;Casado;63;>=7;Propio;4;Si;Empleado;creditos existentes;0;Electrodomestico;1169;9;No;Casa;ninguno;2;1;Bueno
2;Femenino;Soltera;27;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;5951;18;<1;Casa;ninguno;1;1;Malo
0;Masculino;Casado;49;4<=X<7;Propio;3;No;Obrero/Agricultor;creditos existentes;0;Educacion;2096;12;<1;Casa;ninguno;1;2;Bueno
1;Masculino;Soltero;45;4<=X<7;Alquilada;4;No;Empleado;creditos pagados;0;Aumento capital;7882;24;<1;Terreno-Construccion;garante;1;2;Bueno
1;Masculino;Casado;53;1<=X<4;Alquilada;4;No;Empleado;creditos pagados con retraso;1;Automovil;4870;24;<1;Ninguno;ninguno;2;2;Malo
0;Masculino;Soltero;35;1<=X<4;Alquilada;4;Si;Obrero/Agricultor;creditos pagados;0;Aumento capital;9055;24;No;Ninguno;ninguno;1;2;Bueno
0;Masculino;Casado;53;>=7;Propio;4;No;Empleado;creditos pagados;0;Aumento capital;2835;24;5<=X<10;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;Soltero;35;1<=X<4;Alquilada;2;Si;Profesional/calificado;creditos pagados;0;Automovil;6948;36;<1;Automovil;ninguno;1;1;Bueno
0;Masculino;divorciado/separado;61;4<=X<7;Propio;4;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;3059;12;>=10;Casa;ninguno;1;1;Bueno
2;Masculino;Soltero;28;Desempleado;Propio;2;No;Profesional/calificado;creditos existentes;0;Automovil;5234;30;<1;Automovil;ninguno;2;1;Malo
2;Femenino;Soltera;25;<1;Alquilada;1;No;Empleado;creditos pagados;0;Educacion;1295;12;<1;Automovil;ninguno;1;1;Malo
1;Femenino;Soltera;24;<1;Alquilada;1;No;Empleado;creditos pagados;0;Aumento capital;4308;24;<1;Terreno-Construccion;ninguno;1;1;Malo
2;Femenino;Soltera;22;1<=X<4;Propio;1;Si;Empleado;creditos pagados;0;Electrodomestico;1567;12;<1;Automovil;ninguno;1;1;Bueno
1;Masculino;Casado;60;>=7;Propio;4;No;Obrero/Agricultor;creditos existentes;0;Reparaciones;1199;24;<1;Automovil;ninguno;2;1;Malo
1;Femenino;divorciada/separada;28;1<=X<4;Alquilada;2;No;Empleado;creditos pagados;0;Reparaciones;1403;15;<1;Automovil;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;32;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;1282;18;1<=X<5;Automovil;ninguno;1;1;Malo
0;Masculino;Casado;53;>=7;Propio;4;No;Empleado;creditos existentes;0;Electrodomestico;2424;18;No;Terreno-Construccion;ninguno;2;1;Bueno
1;Masculino;Soltero;25;<1;Propio;2;No;Empleado;sin creditos;0;Aumento capital;8072;24;No;Automovil;ninguno;3;1;Bueno
2;Femenino;divorciada/separada;44;>=7;Alquilada;3;Si;Profesional/calificado;creditos pagados;0;Automovil;12579;24;<1;Ninguno;ninguno;1;1;Malo
0;Masculino;Soltero;34;>=7;Propio;2;Si;Empleado;creditos pagados;0;Electrodomestico;3430;18;5<=X<10;Automovil;ninguno;1;2;Bueno
